"","site_number_jupyter","water_depth","distance_to_shore","timezone","jurisdiction","year","site_number","watts","geometry"
"205",204,44.3619,3270.523,-8,"California","5yrave","omni-directional_wave_power_204",21269.53301,c(37.0448, -122.285)
"206",205,83.6556,7800.193,-8,"Federal","5yrave","omni-directional_wave_power_205",29157.06281,c(37.0803, -122.419)
"207",206,115.8421,19940.506,-8,"Federal","5yrave","omni-directional_wave_power_206",32246.79582,c(37.0855, -122.585)
"208",207,704.4449,33491.984,-8,"Federal","5yrave","omni-directional_wave_power_207",35898.96936,c(37.0835, -122.755)
"209",208,690.923,47046.52,-8,"Federal","5yrave","omni-directional_wave_power_208",37786.53289,c(37.0926, -122.919)
"210",209,1579.6608,62420.664,-8,"Federal","5yrave","omni-directional_wave_power_209",39267.33076,c(37.0856, -123.095)
"211",210,14,950.9149,-8,"California","5yrave","omni-directional_wave_power_210",8037.711283,c(36.8529, -121.824)
"212",211,32,6700.879,-8,"California","5yrave","omni-directional_wave_power_211",10263.04351,c(36.8945, -121.923)
"213",212,70,5856.2466,-8,"Federal","5yrave","omni-directional_wave_power_212",18407.18649,c(36.8973, -122.088)
"214",213,115.0341,10908.973,-8,"Federal","5yrave","omni-directional_wave_power_213",25325.547,c(36.915, -122.251)
"215",214,977.001,21057.719,-8,"Federal","5yrave","omni-directional_wave_power_214",30349.36498,c(36.9156, -122.417)
"216",215,1317.9711,30322.602,-8,"Federal","5yrave","omni-directional_wave_power_215",34434.93486,c(36.9208, -122.586)
"217",216,1967.34,42045.34,-8,"Federal","5yrave","omni-directional_wave_power_216",36803.90011,c(36.9127, -122.743)
"218",217,2137.9238,54708.805,-8,"Federal","5yrave","omni-directional_wave_power_217",38185.50433,c(36.923, -122.919)
"219",218,2911.099,68137.31,-8,"Federal","5yrave","omni-directional_wave_power_218",39447.43722,c(36.9102, -123.083)
"220",219,16,1372.1707,-8,"California","5yrave","omni-directional_wave_power_219",14125.68839,c(36.7633, -121.817)
"221",220,98,9887.157,-8,"California","5yrave","omni-directional_wave_power_220",18626.0392,c(36.7485, -121.917)
"222",221,1003.0936,17733.549,-8,"Federal","5yrave","omni-directional_wave_power_221",26649.86388,c(36.7499, -122.083)
"223",222,850.6895,26068.713,-8,"Federal","5yrave","omni-directional_wave_power_222",30392.51495,c(36.7509, -122.25)
"224",223,1956.3252,35392.13,-8,"Federal","5yrave","omni-directional_wave_power_223",33561.90201,c(36.7432, -122.425)
"225",224,2305.102,44344.5,-8,"Federal","5yrave","omni-directional_wave_power_224",35713.44486,c(36.7509, -122.586)
"226",225,2393.5588,54596.402,-8,"Federal","5yrave","omni-directional_wave_power_225",37201.4555,c(36.7432, -122.749)
"227",226,2979.2388,66071.445,-8,"Federal","5yrave","omni-directional_wave_power_226",38621.41511,c(36.7473, -122.928)
"228",227,3078.0706,78040.91,-8,"Federal","5yrave","omni-directional_wave_power_227",39541.184,c(36.7445, -123.088)
"229",228,16.5172,534.94116,-8,"California","5yrave","omni-directional_wave_power_228",16357.40465,c(36.6574, -121.831)
